participant.code,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,Trust1_gen,Trust2_gen,Trust3_gen,Trust4_gen,Trust5_gen,Trust6_gen,q_gender,q_age,q_INK,q_INS,q_INK2,q_INS2,crt_bat,crt_widget,crt_lake,crt_bat01,crt_widget01,crt_lake01,crt,crt_HAP,crt_1st,crt_2nd,crt_3rd,crt_sup,bomb,boxes_collected
sgjacrnx,3,4,4,4,2,1,1,2,4,2,3,2,4,4,4,4,4,3,4,3,2,4,2,4,3,3,5,5,3,5,female,21,y1-2,unknown,y1-2,unknown,5,5,47,1,1,1,3,7,3,2,1,2,1,42
6rnh5qnn,4,4,2,4,2,4,2,1,4,1,4,3,2,5,3,4,2,4,2,5,1,3,2,2,5,4,6,3,5,7,female,21,y1-2,y15-20,y1-2,y10-,10,100,47,0,0,1,1,8,3,3,2,2,0,22
3pmd5hop,3,2,4,2,4,2,4,4,4,2,4,2,4,4,4,4,2,4,4,2,2,2,4,4,3,3,5,3,6,2,female,21,y1-2,unknown,y1-2,unknown,5,5,47,1,1,1,3,4,4,3,4,4,1,66
b61psx1g,3,3,2,2,4,1,1,2,3,4,2,2,3,4,4,2,4,4,2,3,3,3,3,3,3,2,3,2,2,3,female,20,y1-2,y8-10,y1-2,y8-10,10,500,96,0,0,0,0,7,1,1,2,2,0,9
rlm7hlmq,2,2,4,2,2,3,3,4,4,2,4,2,2,5,4,4,2,4,3,4,2,2,4,2,4,3,4,5,5,6,female,22,y0,unknown,y0,unknown,10,100,42,0,0,0,0,8,3,2,1,3,0,52
xohp14u9,2,2,4,2,2,2,3,4,4,3,4,2,2,4,4,2,2,2,3,3,3,3,4,4,4,4,5,6,6,6,female,21,y1-2,y4-6,y1-2,y4-6,5,5,47,1,1,1,3,8,4,3,2,3,1,30
ur36i7l8,3,3,4,3,2,1,4,1,2,4,2,3,2,5,5,1,5,3,5,1,2,3,4,3,5,4,5,5,5,5,female,21,unknown,unknown,unknown,unknown,205,5,12,0,1,0,1,5,2,3,1,3,0,21
qwwiu5xx,2,3,3,2,4,2,1,4,4,4,2,5,2,4,4,4,5,4,2,2,4,3,4,3,4,4,4,3,5,5,female,20,y1-2,y6-8,y1-2,y6-8,5,5,47,1,1,1,3,7,1,1,1,1,1,55
2izf5r8u,2,3,2,3,2,3,3,2,4,2,3,3,2,3,4,4,4,4,2,4,4,4,4,2,3,5,4,5,4,5,male,22,y1-2,y8-10,y1-2,y8-10,5,5,47,1,1,1,3,8,1,1,1,2,1,25
c8gmzche,1,1,2,2,1,3,3,4,5,4,4,4,2,2,2,2,2,4,2,4,4,2,4,2,1,4,5,3,3,6,female,20,y1-2,unknown,y1-2,unknown,10,100,12,0,0,0,0,6,1,3,1,1,0,60
xuhinvl8,2,2,4,2,3,2,1,3,2,1,2,2,2,1,1,2,1,1,3,1,2,1,2,3,2,2,2,5,1,5,male,20,y1-2,y15-20,y1-2,y10-,10,100,47,0,0,1,1,9,1,4,3,2,0,34
anu1jm75,2,3,4,2,2,3,3,4,5,2,4,1,4,5,3,4,2,4,2,4,3,2,4,1,6,6,5,5,6,7,female,21,y1-2,unknown,y1-2,unknown,5,5,47,1,1,1,3,8,3,4,3,3,0,30
bsuuun9x,4,1,2,4,2,4,3,1,5,1,3,2,4,4,2,4,2,3,4,4,3,3,3,3,1,1,1,1,3,3,male,21,y1-2,y8-10,y1-2,y8-10,5,5,47,1,1,1,3,5,3,2,1,1,0,25
6ad7wzdj,3,2,4,3,3,3,2,2,3,2,4,2,4,4,2,3,3,3,4,3,3,2,4,2,2,3,3,2,3,5,male,21,unknown,unknown,unknown,unknown,5,5,12,1,1,0,2,7,2,1,1,1,0,72
0tm2crdt,4,4,4,4,2,1,5,2,3,2,3,5,2,4,3,4,4,3,2,2,3,2,3,2,2,2,3,2,2,6,male,20,y1-2,unknown,y1-2,unknown,10,5,47,0,1,1,2,8,3,2,4,1,1,86
js9unif5,2,2,2,2,4,2,2,4,3,2,4,3,4,5,4,4,3,4,3,3,4,3,2,3,3,5,4,3,5,3,male,20,y1-2,y10-12,y1-2,y10-,5,5,12,1,1,0,2,8,2,2,3,2,0,26
6moswmhe,2,4,4,4,2,4,3,3,4,3,4,2,3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,female,21,y1-2,y4-6,y1-2,y4-6,5,5,12,1,1,0,2,3,1,2,3,1,0,50
f3bmwp70,3,4,4,2,4,1,2,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,3,2,3,5,5,5,5,5,female,20,y1-2,y8-10,y1-2,y8-10,10,100,24,0,0,0,0,8,2,2,2,2,0,13
z580vkil,4,3,5,4,1,1,5,5,4,1,5,4,4,5,4,5,5,4,1,3,1,4,4,2,5,3,5,6,6,6,female,20,y1-2,y6-8,y1-2,y6-8,10,5,35,0,1,0,1,8,3,3,1,2,0,25
kaqj2s6f,4,1,5,5,1,5,5,1,2,1,5,2,5,5,1,5,1,2,5,4,2,5,1,1,2,1,3,5,1,3,male,20,y1-2,y2-4,y1-2,y2-4,10,5,24,0,1,0,1,8,4,4,4,3,1,80
v5xyz9uk,4,4,2,4,3,2,2,2,4,1,4,4,1,5,4,4,4,3,2,4,2,2,2,1,2,3,2,3,3,4,male,22,y1-2,y1-2,y1-2,y1-2,5,5,30,1,1,0,2,3,4,2,2,3,0,13
gkfm9aj3,3,4,4,4,2,4,2,2,4,2,2,5,2,4,2,4,4,4,2,4,3,2,2,2,2,3,2,5,4,5,male,20,y1-2,y6-8,y1-2,y6-8,5,5,47,1,1,1,3,9,2,2,2,2,1,50
86kr77yl,2,2,4,3,2,5,4,3,5,1,3,1,2,4,3,5,4,2,4,5,3,3,3,2,5,5,6,5,5,7,female,23,y1-2,y2-4,y1-2,y2-4,5,5,47,1,1,1,3,8,3,2,2,1,0,50
vmhstnqe,4,2,5,4,1,3,5,2,3,2,4,1,5,5,2,5,1,3,5,4,2,5,2,1,2,4,5,4,5,3,female,22,y1-2,y2-4,y1-2,y2-4,10,100,24,0,0,0,0,6,3,3,3,3,1,96
bpi7tx53,4,2,5,4,3,3,4,2,4,2,4,4,3,4,2,4,3,3,3,4,3,3,2,2,4,6,6,4,6,6,male,23,y0,y0,y0,y0,5,5,47,1,1,1,3,10,1,2,1,1,1,100
ybau465s,4,1,1,4,2,2,4,1,5,2,1,3,4,3,4,4,3,5,2,4,3,1,2,2,1,2,2,2,6,4,female,21,y1-2,y10-12,y1-2,y10-,10,5,24,0,1,0,1,8,4,4,3,3,0,35
g7kwdo0o,3,5,2,2,4,1,4,4,4,2,3,4,4,4,3,4,5,3,4,2,5,3,4,4,2,3,2,2,5,5,male,20,y1-2,y0,y1-2,y0,5,5,47,1,1,1,3,4,2,1,3,3,0,16
i1mqfiok,4,2,4,4,4,4,1,2,5,2,4,2,4,5,4,4,2,4,4,4,2,2,4,4,2,5,2,2,3,3,male,20,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,5,1,1,3,1,0,30
1fb06xdo,3,4,2,3,3,5,3,2,5,2,3,4,3,3,2,4,5,5,3,5,3,1,3,1,1,5,5,1,5,2,male,21,y1-2,unknown,y1-2,unknown,5,5,12,1,1,0,2,3,2,4,2,3,0,40
0pdlitqy,3,4,2,4,2,3,3,3,4,2,4,1,3,4,3,4,2,3,3,3,2,3,3,3,2,3,5,3,3,4,female,21,y1-2,y8-10,y1-2,y8-10,10,5,47,0,1,1,2,3,3,3,3,3,0,30
