ID,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,q_gender,GEN,q_age,ARE,q_MAR,q_CHI,crt_bat,crt_widget,crt_lake,crt_bat01,crt_bat_int,crt_widget01,crt_widget_int,crt_lake01,crt_lake_int,crt_correct,crt_intuitive,crt_1st,crt_2nd,crt_3rd,crt_sup
mxd1gnfm,2,3,3,3,2,3,2,3,4,2,4,3,3,3,4,2,3,3,3,2,3,3,3,4,3,3,5,5,3,5,5,6,5,4,male,40s,48,Kanto,NotMarried,NoChild,10,100,48,0,Intuitive,0,Intuitive,0,Other,0,2,2,2,2,2
qeh267wp,3,4,4,4,2,2,3,2,5,1,3,5,2,3,4,4,5,5,2,4,2,2,2,2,2,3,2,7,4,6,3,7,2,4,male,40s,43,Kyushu,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,4,3,3,2
j9wl4uzq,4,3,4,3,3,2,4,3,3,4,4,3,4,4,4,3,3,3,4,3,2,4,3,3,2,2,1,6,4,5,3,6,4,7,female,40s,49,Chubu,NotMarried,NoChild,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,2,3,3,4
xz0fmbgj,1,2,4,2,4,1,4,5,1,4,5,1,4,5,4,4,2,1,5,2,4,5,4,2,4,2,5,2,6,4,6,2,4,1,male,40s,47,Kinki,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,4,3,2,4
xovlpk27,4,4,5,4,2,2,5,2,2,1,5,2,4,4,2,4,2,2,4,4,2,4,5,2,6,5,5,2,6,1,5,3,3,1,male,40s,42,Chubu,NotMarried,NoChild,5,1,24,1,Correct,0,Other,0,Intuitive,1,1,3,3,4,4
5yx2r16l,3,3,4,3,2,3,3,2,3,2,3,3,3,4,3,3,3,2,4,4,3,3,3,2,1,2,3,5,4,5,4,5,3,3,female,40s,40,Chubu,Married,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,3,3,2,3
f26gjc89,4,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,7,1,4,4,4,4,4,4,4,4,male,30s,39,Kinki,NotMarried,NoChild,10,100,96,0,Intuitive,0,Intuitive,0,Other,0,2,1,1,1,4
8tshve4p,4,2,4,4,2,2,3,2,2,2,3,3,3,4,2,4,3,3,3,3,3,3,2,2,6,3,6,3,6,3,6,3,6,2,male,40s,41,Kanto,Married,Child,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,1,1
bjvdwhw1,1,1,2,3,2,1,3,2,4,3,3,2,2,3,4,1,2,4,2,2,3,3,3,5,1,3,4,5,2,5,4,5,6,7,male,40s,45,Chubu,Married,Child,10,60,5,0,Intuitive,0,Other,0,Other,0,1,3,3,3,2
1j6a9lfb,4,4,3,4,2,4,3,1,2,2,3,4,3,4,2,5,4,4,3,4,2,3,2,2,5,5,3,5,5,5,5,5,6,3,male,30s,34,Shikoku,NotMarried,NoChild,5,5,47,1,Correct,1,Correct,1,Correct,3,0,1,1,2,2
09graqcu,4,3,4,4,2,3,3,4,4,2,2,4,3,4,3,3,3,3,2,2,3,4,3,2,5,3,4,5,3,4,5,5,3,5,female,50s,51,Kanto,Married,Child,10,5,10,0,Intuitive,1,Correct,0,Other,1,1,2,2,2,2
ob29ooea,4,2,4,3,2,4,4,3,2,2,3,2,4,4,2,4,2,2,4,4,3,4,2,2,3,3,4,3,5,4,5,4,5,3,male,40s,45,Kanto,NotMarried,NoChild,10,5,47,0,Intuitive,1,Correct,1,Correct,2,1,1,2,3,3
j0aak0mp,2,4,4,3,4,1,3,3,2,3,3,2,3,3,4,2,4,4,3,3,3,3,4,3,3,4,4,5,3,5,4,3,3,4,male,30s,37,Kanto,Married,Child,10,100,24,0,Intuitive,0,Intuitive,0,Intuitive,0,3,2,3,3,2
