No,x1,x2,x3,x4,x5,x6,x7
1,3,5,4,5,5,5,4
2,4,4,4,5,3,4,2
3,4,4,4,4,5,4,1
4,2,3,2,2,4,2,4
5,1,1,1,1,1,1,1
6,3,4,4,4,2,4,2
7,4,4,3,2,1,4,2
8,4,4,4,4,4,4,2
9,5,5,5,5,1,1,1
10,4,4,3,4,4,4,2
11,3,4,3,5,4,4,1
12,5,5,4,4,2,5,1
13,1,1,1,1,5,5,5
14,4,2,2,4,1,1,1
15,4,4,4,5,2,5,1
16,4,2,4,4,4,4,1
17,4,4,3,5,4,2,1
18,5,5,5,5,1,1,1
19,4,3,2,4,2,4,1
20,4,4,4,5,3,4,1
21,5,5,4,5,5,5,2
22,3,3,2,4,4,3,2
23,4,5,3,5,4,4,3
24,3,2,1,4,1,2,1
25,1,4,5,5,1,5,1
26,4,5,4,5,5,5,2
27,4,3,3,4,5,4,1
28,5,3,3,5,5,5,1
29,3,4,1,4,3,4,1
30,3,3,2,4,3,3,1
31,4,4,3,4,3,2,2
32,3,3,1,5,1,5,1
33,5,4,2,3,5,1,1
34,4,4,4,5,2,4,2
35,4,5,4,5,5,1,4
36,4,3,3,5,4,3,3
37,2,5,1,5,4,1,1
38,4,3,4,2,1,2,2
39,4,3,3,3,3,4,1
40,3,3,1,5,5,5,1
41,5,3,2,4,4,2,2
42,4,4,2,5,2,4,1
43,4,3,4,4,3,4,1
44,5,5,5,5,5,5,1
45,4,3,4,5,1,2,2
46,4,4,4,5,5,2,1
47,5,4,3,4,3,3,4
48,3,3,3,4,3,3,3
49,5,4,5,5,5,5,4
50,5,3,2,1,2,3,1
51,2,2,4,4,4,2,2
52,3,4,2,5,1,5,1
53,3,4,3,5,1,4,2
54,3,3,3,1,3,4,1
55,4,4,4,5,1,2,1
56,5,5,5,5,5,5,1
57,4,4,4,4,1,1,1
58,4,4,4,4,2,4,1
59,1,3,1,2,3,1,1
60,3,4,3,5,2,3,3
61,4,4,4,5,4,3,2
62,5,4,4,5,2,2,1
63,3,4,1,5,1,4,1
64,4,3,4,5,5,5,1
65,4,3,4,4,1,2,2
66,4,4,2,5,4,2,1
67,5,4,3,5,5,5,1
68,4,3,4,4,3,1,1
69,3,4,4,4,2,4,2
70,3,2,5,4,2,4,1
71,4,4,3,5,4,1,1
72,4,4,3,5,4,3,2
73,3,2,4,4,1,2,1
74,3,4,3,5,4,5,1
75,3,4,4,5,3,4,1
76,4,4,2,5,4,2,2
77,5,3,5,5,5,5,1
78,1,5,4,5,5,5,2
79,3,3,1,4,5,1,1
80,4,4,3,4,4,3,1
81,4,2,3,1,1,4,1
82,4,4,2,5,4,4,2
83,4,4,1,5,4,4,1
84,3,4,4,4,4,4,2
85,2,4,4,1,4,5,3
86,5,3,2,3,3,2,1
87,3,4,4,5,4,4,3
88,4,3,4,5,3,2,2
89,5,3,4,1,1,1,1
90,3,3,2,4,1,2,1
91,4,4,4,5,4,4,2
92,4,3,4,4,5,4,1
93,3,3,2,5,3,3,2
94,5,4,3,5,4,3,2
95,4,4,5,5,3,5,1
96,3,2,1,4,1,2,1
97,3,4,4,4,5,3,1
98,3,4,3,3,3,4,2
99,5,4,4,5,4,3,2
100,4,2,1,4,2,4,1
101,3,3,2,5,2,2,2
102,1,4,4,2,4,2,1
103,5,4,4,5,2,5,1
104,4,2,1,5,2,3,1
105,4,2,4,2,3,4,1
106,3,3,1,5,1,4,1
107,3,3,3,5,2,2,2
108,3,5,3,5,2,1,1
109,3,4,4,4,2,2,2
110,3,3,3,3,4,4,2
111,3,4,2,5,5,4,4
112,5,4,4,5,5,4,2
113,4,4,2,5,4,3,1
114,4,4,4,5,3,4,2
115,2,2,5,5,2,3,1
116,1,5,4,5,1,5,1
117,3,5,2,5,2,5,2
118,5,5,5,4,4,5,5
